Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cultivar]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cultivar]
P129	ERS2903553	SAMEA5092212	Hordeum vulgare subsp. vulgare	P0129 (B559)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P129	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P129_S401_L002	group 114	sequencing assay	ERX2907152	HGL5VBBXX_P129_S401_L002_R1_001.fastq.gz	HGL5VBBXX_P129_S401_L002_R1_001.fastq.gz	ERR2902575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902575/ERR2902575_1.fastq.gz	302	152	P0129 (B559)
P129	ERS2903553	SAMEA5092212	Hordeum vulgare subsp. vulgare	P0129 (B559)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P129	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P129_S401_L002	group 114	sequencing assay	ERX2907152	HGL5VBBXX_P129_S401_L002_R2_001.fastq.gz	HGL5VBBXX_P129_S401_L002_R2_001.fastq.gz	ERR2902575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902575/ERR2902575_2.fastq.gz	302	152	P0129 (B559)
P130	ERS2903554	SAMEA5092213	Hordeum vulgare subsp. vulgare	P0130 (B583)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P130	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P130_S88_L004	group 115	sequencing assay	ERX2907153	HGH2WBBXX_P130_S88_L004_R1_001.fastq.gz	HGH2WBBXX_P130_S88_L004_R1_001.fastq.gz	ERR2902576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902576/ERR2902576_1.fastq.gz	302	152	P0130 (B583)
P130	ERS2903554	SAMEA5092213	Hordeum vulgare subsp. vulgare	P0130 (B583)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P130	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P130_S88_L004	group 115	sequencing assay	ERX2907153	HGH2WBBXX_P130_S88_L004_R2_001.fastq.gz	HGH2WBBXX_P130_S88_L004_R2_001.fastq.gz	ERR2902576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902576/ERR2902576_2.fastq.gz	302	152	P0130 (B583)
P130	ERS2903554	SAMEA5092213	Hordeum vulgare subsp. vulgare	P0130 (B583)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P130	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P130_S402_L002	group 115	sequencing assay	ERX2907153	HGL5VBBXX_P130_S402_L002_R1_001.fastq.gz	HGL5VBBXX_P130_S402_L002_R1_001.fastq.gz	ERR2902577	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902577/ERR2902577_1.fastq.gz	302	152	P0130 (B583)
P130	ERS2903554	SAMEA5092213	Hordeum vulgare subsp. vulgare	P0130 (B583)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P130	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P130_S402_L002	group 115	sequencing assay	ERX2907153	HGL5VBBXX_P130_S402_L002_R2_001.fastq.gz	HGL5VBBXX_P130_S402_L002_R2_001.fastq.gz	ERR2902577	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902577/ERR2902577_2.fastq.gz	302	152	P0130 (B583)
P131	ERS2903555	SAMEA5092214	Hordeum vulgare subsp. vulgare	P0131 (B585)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P131	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P131_S89_L004	group 116	sequencing assay	ERX2907154	HGH2WBBXX_P131_S89_L004_R1_001.fastq.gz	HGH2WBBXX_P131_S89_L004_R1_001.fastq.gz	ERR2902578	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902578/ERR2902578_1.fastq.gz	302	152	P0131 (B585)
P131	ERS2903555	SAMEA5092214	Hordeum vulgare subsp. vulgare	P0131 (B585)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P131	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P131_S89_L004	group 116	sequencing assay	ERX2907154	HGH2WBBXX_P131_S89_L004_R2_001.fastq.gz	HGH2WBBXX_P131_S89_L004_R2_001.fastq.gz	ERR2902578	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902578/ERR2902578_2.fastq.gz	302	152	P0131 (B585)
P131	ERS2903555	SAMEA5092214	Hordeum vulgare subsp. vulgare	P0131 (B585)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P131	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P131_S403_L002	group 116	sequencing assay	ERX2907154	HGL5VBBXX_P131_S403_L002_R1_001.fastq.gz	HGL5VBBXX_P131_S403_L002_R1_001.fastq.gz	ERR2902579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902579/ERR2902579_1.fastq.gz	302	152	P0131 (B585)
P131	ERS2903555	SAMEA5092214	Hordeum vulgare subsp. vulgare	P0131 (B585)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P131	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P131_S403_L002	group 116	sequencing assay	ERX2907154	HGL5VBBXX_P131_S403_L002_R2_001.fastq.gz	HGL5VBBXX_P131_S403_L002_R2_001.fastq.gz	ERR2902579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902579/ERR2902579_2.fastq.gz	302	152	P0131 (B585)
P132	ERS2903556	SAMEA5092215	Hordeum vulgare subsp. vulgare	P0132 (B645)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P132	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P132_S90_L004	group 117	sequencing assay	ERX2907155	HGH2WBBXX_P132_S90_L004_R1_001.fastq.gz	HGH2WBBXX_P132_S90_L004_R1_001.fastq.gz	ERR2902580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902580/ERR2902580_1.fastq.gz	302	152	P0132 (B645)
P132	ERS2903556	SAMEA5092215	Hordeum vulgare subsp. vulgare	P0132 (B645)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P132	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P132_S90_L004	group 117	sequencing assay	ERX2907155	HGH2WBBXX_P132_S90_L004_R2_001.fastq.gz	HGH2WBBXX_P132_S90_L004_R2_001.fastq.gz	ERR2902580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902580/ERR2902580_2.fastq.gz	302	152	P0132 (B645)
P132	ERS2903556	SAMEA5092215	Hordeum vulgare subsp. vulgare	P0132 (B645)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P132	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P132_S404_L002	group 117	sequencing assay	ERX2907155	HGL5VBBXX_P132_S404_L002_R1_001.fastq.gz	HGL5VBBXX_P132_S404_L002_R1_001.fastq.gz	ERR2902581	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902581/ERR2902581_1.fastq.gz	302	152	P0132 (B645)
P132	ERS2903556	SAMEA5092215	Hordeum vulgare subsp. vulgare	P0132 (B645)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P132	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P132_S404_L002	group 117	sequencing assay	ERX2907155	HGL5VBBXX_P132_S404_L002_R2_001.fastq.gz	HGL5VBBXX_P132_S404_L002_R2_001.fastq.gz	ERR2902581	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902581/ERR2902581_2.fastq.gz	302	152	P0132 (B645)
P133	ERS2903557	SAMEA5092216	Hordeum vulgare subsp. vulgare	P0133 (B697)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P133	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P133_S91_L004	group 118	sequencing assay	ERX2907156	HGH2WBBXX_P133_S91_L004_R1_001.fastq.gz	HGH2WBBXX_P133_S91_L004_R1_001.fastq.gz	ERR2902582	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902582/ERR2902582_1.fastq.gz	302	152	P0133 (B697)
P133	ERS2903557	SAMEA5092216	Hordeum vulgare subsp. vulgare	P0133 (B697)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P133	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P133_S91_L004	group 118	sequencing assay	ERX2907156	HGH2WBBXX_P133_S91_L004_R2_001.fastq.gz	HGH2WBBXX_P133_S91_L004_R2_001.fastq.gz	ERR2902582	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902582/ERR2902582_2.fastq.gz	302	152	P0133 (B697)
P133	ERS2903557	SAMEA5092216	Hordeum vulgare subsp. vulgare	P0133 (B697)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P133	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P133_S405_L002	group 118	sequencing assay	ERX2907156	HGL5VBBXX_P133_S405_L002_R1_001.fastq.gz	HGL5VBBXX_P133_S405_L002_R1_001.fastq.gz	ERR2902583	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2902583/ERR2902583_1.fastq.gz	302	152	P0133 (B697)
P133	ERS2903557	SAMEA5092216	Hordeum vulgare subsp. vulgare	P0133 (B697)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P133	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P133_S405_L002	group 118	sequencing assay	ERX2907156	HGL5VBBXX_P133_S405_L002_R2_001.fastq.gz	HGL5VBBXX_P133_S405_L002_R2_001.fastq.gz	ERR2902583	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2902583/ERR2902583_2.fastq.gz	302	152	P0133 (B697)
P134	ERS2903558	SAMEA5092217	Hordeum vulgare subsp. vulgare	P0134 (B751)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P134	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P134_S92_L004	group 119	sequencing assay	ERX2907157	HGH2WBBXX_P134_S92_L004_R1_001.fastq.gz	HGH2WBBXX_P134_S92_L004_R1_001.fastq.gz	ERR2902584	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/004/ERR2902584/ERR2902584_1.fastq.gz	302	152	P0134 (B751)
P134	ERS2903558	SAMEA5092217	Hordeum vulgare subsp. vulgare	P0134 (B751)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P134	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P134_S92_L004	group 119	sequencing assay	ERX2907157	HGH2WBBXX_P134_S92_L004_R2_001.fastq.gz	HGH2WBBXX_P134_S92_L004_R2_001.fastq.gz	ERR2902584	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/004/ERR2902584/ERR2902584_2.fastq.gz	302	152	P0134 (B751)
P134	ERS2903558	SAMEA5092217	Hordeum vulgare subsp. vulgare	P0134 (B751)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P134	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P134_S406_L002	group 119	sequencing assay	ERX2907157	HGL5VBBXX_P134_S406_L002_R1_001.fastq.gz	HGL5VBBXX_P134_S406_L002_R1_001.fastq.gz	ERR2902585	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902585/ERR2902585_1.fastq.gz	302	152	P0134 (B751)
P134	ERS2903558	SAMEA5092217	Hordeum vulgare subsp. vulgare	P0134 (B751)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P134	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P134_S406_L002	group 119	sequencing assay	ERX2907157	HGL5VBBXX_P134_S406_L002_R2_001.fastq.gz	HGL5VBBXX_P134_S406_L002_R2_001.fastq.gz	ERR2902585	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/005/ERR2902585/ERR2902585_2.fastq.gz	302	152	P0134 (B751)
P135	ERS2903559	SAMEA5092218	Hordeum vulgare subsp. vulgare	P0135 (B795)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P135	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P135_S93_L004	group 120	sequencing assay	ERX2907158	HGH2WBBXX_P135_S93_L004_R1_001.fastq.gz	HGH2WBBXX_P135_S93_L004_R1_001.fastq.gz	ERR2902586	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902586/ERR2902586_1.fastq.gz	302	152	P0135 (B795)
P135	ERS2903559	SAMEA5092218	Hordeum vulgare subsp. vulgare	P0135 (B795)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P135	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P135_S93_L004	group 120	sequencing assay	ERX2907158	HGH2WBBXX_P135_S93_L004_R2_001.fastq.gz	HGH2WBBXX_P135_S93_L004_R2_001.fastq.gz	ERR2902586	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/006/ERR2902586/ERR2902586_2.fastq.gz	302	152	P0135 (B795)
P135	ERS2903559	SAMEA5092218	Hordeum vulgare subsp. vulgare	P0135 (B795)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P135	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P135_S407_L002	group 120	sequencing assay	ERX2907158	HGL5VBBXX_P135_S407_L002_R1_001.fastq.gz	HGL5VBBXX_P135_S407_L002_R1_001.fastq.gz	ERR2902587	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902587/ERR2902587_1.fastq.gz	302	152	P0135 (B795)
P135	ERS2903559	SAMEA5092218	Hordeum vulgare subsp. vulgare	P0135 (B795)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P135	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P135_S407_L002	group 120	sequencing assay	ERX2907158	HGL5VBBXX_P135_S407_L002_R2_001.fastq.gz	HGL5VBBXX_P135_S407_L002_R2_001.fastq.gz	ERR2902587	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/007/ERR2902587/ERR2902587_2.fastq.gz	302	152	P0135 (B795)
P136	ERS2903560	SAMEA5092219	Hordeum vulgare subsp. vulgare	P0136 (B87/14-18)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P136	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P136_S94_L004	group 121	sequencing assay	ERX2907159	HGH2WBBXX_P136_S94_L004_R1_001.fastq.gz	HGH2WBBXX_P136_S94_L004_R1_001.fastq.gz	ERR2902588	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902588/ERR2902588_1.fastq.gz	302	152	P0136 (B87/14-18)
P136	ERS2903560	SAMEA5092219	Hordeum vulgare subsp. vulgare	P0136 (B87/14-18)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P136	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P136_S94_L004	group 121	sequencing assay	ERX2907159	HGH2WBBXX_P136_S94_L004_R2_001.fastq.gz	HGH2WBBXX_P136_S94_L004_R2_001.fastq.gz	ERR2902588	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/008/ERR2902588/ERR2902588_2.fastq.gz	302	152	P0136 (B87/14-18)
P136	ERS2903560	SAMEA5092219	Hordeum vulgare subsp. vulgare	P0136 (B87/14-18)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P136	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P136_S408_L002	group 121	sequencing assay	ERX2907159	HGL5VBBXX_P136_S408_L002_R1_001.fastq.gz	HGL5VBBXX_P136_S408_L002_R1_001.fastq.gz	ERR2902589	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902589/ERR2902589_1.fastq.gz	302	152	P0136 (B87/14-18)
P136	ERS2903560	SAMEA5092219	Hordeum vulgare subsp. vulgare	P0136 (B87/14-18)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P136	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P136_S408_L002	group 121	sequencing assay	ERX2907159	HGL5VBBXX_P136_S408_L002_R2_001.fastq.gz	HGL5VBBXX_P136_S408_L002_R2_001.fastq.gz	ERR2902589	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/009/ERR2902589/ERR2902589_2.fastq.gz	302	152	P0136 (B87/14-18)
P137	ERS2903561	SAMEA5092220	Hordeum vulgare subsp. vulgare	P0137 (B87/14-21)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P137	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P137_S95_L004	group 122	sequencing assay	ERX2907160	HGH2WBBXX_P137_S95_L004_R1_001.fastq.gz	HGH2WBBXX_P137_S95_L004_R1_001.fastq.gz	ERR2902590	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902590/ERR2902590_1.fastq.gz	302	152	P0137 (B87/14-21)
P137	ERS2903561	SAMEA5092220	Hordeum vulgare subsp. vulgare	P0137 (B87/14-21)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P137	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P137_S95_L004	group 122	sequencing assay	ERX2907160	HGH2WBBXX_P137_S95_L004_R2_001.fastq.gz	HGH2WBBXX_P137_S95_L004_R2_001.fastq.gz	ERR2902590	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/000/ERR2902590/ERR2902590_2.fastq.gz	302	152	P0137 (B87/14-21)
P137	ERS2903561	SAMEA5092220	Hordeum vulgare subsp. vulgare	P0137 (B87/14-21)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P137	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P137_S409_L002	group 122	sequencing assay	ERX2907160	HGL5VBBXX_P137_S409_L002_R1_001.fastq.gz	HGL5VBBXX_P137_S409_L002_R1_001.fastq.gz	ERR2902591	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902591/ERR2902591_1.fastq.gz	302	152	P0137 (B87/14-21)
P137	ERS2903561	SAMEA5092220	Hordeum vulgare subsp. vulgare	P0137 (B87/14-21)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P137	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGL5VBBXX_P137_S409_L002	group 122	sequencing assay	ERX2907160	HGL5VBBXX_P137_S409_L002_R2_001.fastq.gz	HGL5VBBXX_P137_S409_L002_R2_001.fastq.gz	ERR2902591	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/001/ERR2902591/ERR2902591_2.fastq.gz	302	152	P0137 (B87/14-21)
P138	ERS2903562	SAMEA5092221	Hordeum vulgare subsp. vulgare	P0138 (B87/14-9)	2	week	seedling development stage	wild type genotype	leaf	organism part	P-MTAB-80725	P-MTAB-80726	P-MTAB-80727	P-MTAB-80728	P138	DNA	PAIRED	Hybrid Selection	GENOMIC	not applicable	Targeted-Capture	275	1	P-MTAB-80729	"AgriBio, Centre for AgriBioscience, Bundoora, VIC"	HGH2WBBXX_P138_S96_L004	group 123	sequencing assay	ERX2907161	HGH2WBBXX_P138_S96_L004_R1_001.fastq.gz	HGH2WBBXX_P138_S96_L004_R1_001.fastq.gz	ERR2902592	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2902592/ERR2902592_1.fastq.gz	302	152	P0138 (B87/14-9)
